iter	Logloss
0	0.6921622489
1	0.6909026935
2	0.6897403381
3	0.6886508243
4	0.6875783665
5	0.6857659292
6	0.684622362
7	0.6836600385
8	0.6828967394
9	0.6818801232
10	0.6807646306
11	0.6795189821
12	0.6785795531
13	0.67763194
14	0.6770370241
15	0.6751600569
16	0.6742910293
17	0.6729708799
18	0.6716376221
19	0.6706800592
20	0.6698599145
21	0.6683296041
22	0.6673260808
23	0.6664249664
24	0.6655259585
25	0.6639743856
26	0.6630677924
27	0.6614347157
28	0.660137468
29	0.659281597
30	0.6578552084
31	0.6572155407
32	0.6563819461
33	0.6556143878
34	0.6547742103
35	0.6540296114
36	0.6527858913
37	0.6516430467
38	0.6505956327
39	0.6496729643
40	0.6488374155
41	0.6476249021
42	0.6463144933
43	0.6459533416
44	0.6450986523
45	0.6435118338
46	0.6429133216
47	0.6422087151
48	0.6408639885
49	0.6397199397
50	0.638907645
51	0.6377745192
52	0.6372384523
53	0.6365258591
54	0.6356970362
55	0.634702242
56	0.6338443866
57	0.6330002212
58	0.6322952033
59	0.6309333738
60	0.6301639404
61	0.6293552313
62	0.6283292476
63	0.6274054196
64	0.6264487957
65	0.6257268331
66	0.6251188326
67	0.6241913139
68	0.6234895676
69	0.6227300486
70	0.6215991993
71	0.6207121982
72	0.6201205935
73	0.6193145239
74	0.6185141466
75	0.617897754
76	0.6173015306
77	0.6166948384
78	0.6157844689
79	0.6148585003
80	0.613353482
81	0.6123259607
82	0.6121262438
83	0.6111005679
84	0.6104820379
85	0.6093456955
86	0.6086383786
87	0.608170931
88	0.6075017411
89	0.6066529352
90	0.6055613299
91	0.6043294738
92	0.6039447642
93	0.603243738
94	0.6023969608
95	0.601757871
96	0.6009103223
97	0.5997064978
98	0.5986158723
99	0.5979236746
100	0.5970737225
101	0.5963177967
102	0.5952906851
103	0.5942842154
104	0.5938536902
105	0.593228086
106	0.5924757443
107	0.5913944313
108	0.5902907043
109	0.5894998937
110	0.5889458904
111	0.588086177
112	0.5872220194
113	0.586670981
114	0.5857172304
115	0.5850201678
116	0.5844154603
117	0.5830351551
118	0.5822828203
119	0.5816896328
120	0.5806905607
121	0.5799593695
122	0.578684478
123	0.5780482779
124	0.5770798667
125	0.5768658452
126	0.576149678
127	0.5751961491
128	0.5744087524
129	0.5736800138
130	0.5730691445
131	0.5723690314
132	0.5715659309
133	0.5707771739
134	0.5699501312
135	0.5693912354
136	0.5687970007
137	0.5677363152
138	0.5665744588
139	0.5660904555
140	0.5653499815
141	0.5645063009
142	0.5638132542
143	0.5631165451
144	0.561909996
145	0.5612780296
146	0.5604217497
147	0.5596482081
148	0.5591322145
149	0.5585493361
150	0.5578492443
151	0.5569236705
152	0.5562083206
153	0.5551848714
154	0.5548167882
155	0.554465653
156	0.5537221552
157	0.5528380713
158	0.5517673784
159	0.5508385404
160	0.5497527771
161	0.5491785519
162	0.5481755468
163	0.5471947618
164	0.5466179269
165	0.5462677082
166	0.545526137
167	0.5449120145
168	0.5442896544
169	0.5437082307
170	0.5427768862
171	0.541843854
172	0.5412400792
173	0.540574947
174	0.5401797229
175	0.539344259
176	0.5381977598
177	0.5373797144
178	0.5367539258
179	0.5359766547
180	0.5344144068
181	0.5337909891
182	0.5332075394
183	0.5328895027
184	0.532176879
185	0.5308296686
186	0.5300480873
187	0.5291099419
188	0.5286736428
189	0.5279515072
190	0.5274372324
191	0.5266815148
192	0.5259456745
193	0.5253789611
194	0.5248770996
195	0.5242635375
196	0.5236480381
197	0.5229730905
198	0.5223691111
199	0.5212264902
200	0.520678048
201	0.5196739309
202	0.5188021918
203	0.5180746839
204	0.5174072106
205	0.5163648817
206	0.5157833087
207	0.5153837021
208	0.5145837582
209	0.5139567932
210	0.5133800643
211	0.5128607515
212	0.5121411776
213	0.511139973
214	0.5108078806
