iter	Passed	Remaining
0	2	2129
1	5	2697
2	10	3418
3	12	3218
4	15	3082
5	19	3148
6	24	3502
7	27	3418
8	31	3493
9	35	3504
10	39	3523
11	47	3937
12	52	3962
13	55	3886
14	56	3691
15	59	3631
16	63	3672
17	73	4024
18	83	4321
19	86	4224
20	88	4133
21	91	4073
22	93	3992
23	100	4105
24	103	4028
25	106	3990
26	109	3952
27	113	3951
28	117	3931
29	120	3899
30	123	3858
31	126	3832
32	130	3831
33	133	3805
34	137	3789
35	140	3759
36	143	3722
37	147	3738
38	149	3695
39	152	3664
40	155	3638
41	158	3619
42	162	3620
43	165	3603
44	168	3579
45	171	3564
46	175	3552
47	178	3537
48	181	3522
49	184	3504
50	187	3482
51	189	3452
52	191	3415
53	195	3427
54	198	3412
55	201	3400
56	205	3392
57	207	3376
58	212	3383
59	214	3364
60	218	3360
61	220	3337
62	223	3330
63	227	3332
64	230	3311
65	233	3299
66	236	3288
67	238	3269
68	243	3284
69	247	3288
70	250	3276
71	253	3268
72	256	3251
73	259	3246
74	262	3240
75	265	3231
76	268	3220
77	271	3207
78	274	3197
79	277	3191
80	280	3185
81	283	3176
82	285	3152
83	288	3140
84	292	3150
85	295	3142
86	298	3133
87	301	3128
88	304	3119
89	308	3119
90	312	3123
91	315	3116
92	317	3094
93	319	3074
94	321	3065
95	325	3069
96	329	3063
97	332	3058
98	335	3049
99	337	3035
100	341	3036
101	344	3029
102	347	3022
103	350	3017
104	353	3011
105	357	3015
106	360	3005
107	362	2992
108	364	2976
109	366	2968
110	370	2964
111	374	2967
112	376	2957
113	380	2955
114	382	2947
115	386	2941
116	390	2948
117	393	2944
118	396	2933
119	398	2924
120	401	2915
121	403	2907
122	406	2899
123	409	2889
124	411	2881
125	413	2868
126	416	2860
127	419	2861
128	424	2866
129	428	2866
130	431	2861
131	434	2856
132	437	2855
133	440	2845
134	443	2838
135	444	2826
136	447	2819
137	449	2809
138	453	2808
139	456	2806
140	459	2802
141	463	2797
142	466	2794
143	470	2794
144	473	2790
145	476	2785
146	479	2785
147	483	2781
148	487	2782
149	489	2771
150	491	2765
151	494	2756
152	497	2751
153	500	2746
154	503	2747
155	506	2741
156	509	2735
157	511	2727
158	514	2720
159	518	2720
160	521	2717
161	524	2714
162	527	2709
163	530	2706
164	535	2709
165	538	2703
166	540	2698
167	543	2692
168	545	2684
169	548	2677
170	552	2680
171	555	2676
172	558	2670
173	561	2664
174	563	2655
175	565	2648
176	569	2646
177	571	2638
178	574	2634
179	577	2630
180	580	2627
181	585	2632
182	588	2628
183	590	2616
184	592	2610
185	595	2604
186	597	2598
187	601	2598
188	603	2591
189	606	2586
190	608	2579
191	611	2573
192	614	2568
193	617	2566
194	620	2560
195	623	2557
196	625	2551
197	628	2544
198	631	2542
199	634	2538
200	637	2535
201	640	2529
202	643	2524
203	646	2521
204	649	2519
205	652	2515
206	654	2509
207	657	2502
208	659	2497
209	663	2494
210	667	2494
211	669	2490
212	672	2484
213	675	2481
214	677	2475
215	681	2475
216	683	2465
217	685	2459
218	687	2453
219	691	2451
220	696	2453
221	699	2452
222	703	2450
223	706	2448
224	709	2445
225	714	2447
226	716	2440
227	719	2435
228	721	2429
229	724	2425
230	727	2423
231	731	2422
232	733	2416
233	736	2410
234	739	2405
235	742	2402
236	745	2400
237	748	2397
238	752	2396
239	756	2394
240	759	2392
241	763	2392
242	767	2389
243	769	2383
244	772	2379
245	776	2378
246	779	2376
247	782	2371
248	784	2366
249	787	2361
250	789	2357
251	793	2354
252	797	2354
253	800	2349
254	802	2344
255	804	2338
256	807	2333
257	811	2333
258	814	2328
259	817	2325
260	819	2321
261	822	2318
262	827	2318
263	830	2314
264	833	2311
265	835	2305
266	838	2302
267	842	2299
268	844	2295
269	848	2295
270	851	2289
271	854	2286
272	858	2287
273	861	2283
274	864	2278
275	866	2274
276	870	2271
277	871	2262
278	875	2262
279	878	2259
280	881	2255
281	884	2252
282	887	2248
283	891	2246
284	894	2243
285	897	2240
286	899	2234
287	900	2227
288	903	2222
289	906	2218
290	909	2215
291	911	2210
292	915	2208
293	918	2204
294	922	2205
295	925	2201
296	927	2194
297	929	2190
298	932	2186
299	935	2182
300	939	2181
301	942	2178
302	945	2175
303	948	2171
304	951	2168
305	956	2168
306	959	2165
307	962	2162
308	965	2159
309	967	2154
310	970	2149
311	973	2147
312	977	2144
313	980	2141
314	983	2138
315	986	2135
316	988	2130
317	991	2126
318	994	2123
319	997	2119
320	1000	2116
321	1004	2115
322	1007	2112
323	1010	2107
324	1013	2104
325	1016	2101
326	1020	2100
327	1023	2096
328	1027	2095
329	1030	2092
330	1033	2089
331	1037	2086
332	1039	2082
333	1042	2079
334	1045	2076
335	1049	2074
336	1053	2073
337	1054	2066
338	1057	2062
339	1060	2058
340	1063	2055
341	1065	2049
342	1068	2047
343	1072	2045
344	1075	2041
345	1079	2039
346	1082	2037
347	1087	2037
348	1090	2034
349	1093	2030
350	1095	2026
351	1098	2022
352	1101	2019
353	1105	2016
354	1107	2012
355	1109	2007
356	1112	2003
357	1115	2000
358	1119	1998
359	1122	1995
360	1125	1992
361	1128	1989
362	1130	1984
363	1135	1984
364	1136	1977
365	1139	1974
366	1143	1971
367	1146	1968
368	1149	1966
369	1151	1961
370	1154	1957
371	1157	1954
372	1161	1951
373	1165	1950
374	1168	1947
375	1170	1942
376	1173	1938
377	1174	1932
378	1177	1929
379	1180	1926
380	1184	1924
381	1189	1924
382	1192	1921
383	1195	1918
384	1199	1916
385	1202	1912
386	1204	1908
387	1207	1904
388	1208	1898
389	1211	1895
390	1216	1894
391	1219	1892
392	1222	1888
393	1225	1885
394	1228	1881
395	1232	1879
396	1234	1875
397	1237	1871
398	1239	1867
399	1242	1864
400	1245	1860
401	1249	1858
402	1252	1855
403	1255	1851
404	1258	1848
405	1261	1846
406	1265	1843
407	1267	1839
408	1269	1835
409	1272	1831
410	1275	1828
411	1279	1826
412	1282	1823
413	1285	1820
414	1289	1817
415	1291	1813
416	1293	1808
417	1297	1806
418	1299	1802
419	1302	1798
420	1305	1795
421	1308	1792
422	1312	1790
423	1315	1787
424	1318	1783
425	1321	1780
426	1324	1777
427	1328	1775
428	1331	1772
429	1334	1768
430	1336	1764
431	1339	1760
432	1342	1757
433	1345	1755
434	1348	1752
435	1351	1748
436	1354	1745
437	1357	1741
438	1360	1738
439	1363	1735
440	1366	1732
441	1369	1729
442	1372	1725
443	1376	1723
444	1379	1721
445	1382	1717
446	1386	1714
447	1389	1711
448	1392	1708
449	1396	1706
450	1399	1703
451	1402	1700
452	1405	1696
453	1408	1693
454	1411	1690
455	1414	1687
456	1417	1684
457	1420	1681
458	1424	1678
459	1428	1676
460	1431	1673
461	1433	1669
462	1437	1666
463	1440	1663
464	1443	1661
465	1445	1656
466	1448	1653
467	1452	1650
468	1455	1647
469	1459	1645
470	1462	1642
471	1465	1639
472	1468	1636
473	1471	1633
474	1476	1631
475	1479	1628
476	1482	1625
477	1484	1621
478	1502	1634
479	1512	1638
480	1520	1641
481	1526	1639
482	1529	1636
483	1532	1633
484	1536	1631
485	1545	1634
486	1552	1635
487	1561	1638
488	1566	1636
489	1576	1640
490	1580	1637
491	1583	1634
492	1586	1631
493	1589	1628
494	1592	1625
495	1595	1621
496	1598	1617
497	1601	1614
498	1604	1611
499	1607	1607
500	1610	1604
501	1613	1600
502	1616	1597
503	1618	1592
504	1622	1590
505	1625	1587
506	1628	1583
507	1631	1580
508	1634	1576
509	1639	1574
510	1642	1571
511	1644	1567
512	1647	1564
513	1650	1560
514	1654	1558
515	1657	1554
516	1660	1551
517	1663	1547
518	1666	1544
519	1670	1541
520	1675	1540
521	1678	1536
522	1680	1532
523	1683	1529
524	1686	1526
525	1690	1523
526	1693	1519
527	1695	1516
528	1698	1512
529	1701	1508
530	1705	1506
531	1707	1502
532	1710	1498
533	1713	1495
534	1716	1491
535	1720	1489
536	1723	1486
537	1726	1482
538	1730	1480
539	1735	1478
540	1738	1475
541	1742	1472
542	1745	1468
543	1748	1465
544	1751	1462
545	1754	1458
546	1756	1454
547	1759	1451
548	1762	1447
549	1764	1443
550	1769	1441
551	1772	1438
552	1775	1435
553	1778	1431
554	1781	1428
